November,December,January,February,March,year
0,0,0,24.1379310344828,100,1940
100,96.7741935483871,100,96.4285714285714,100,1941
100,100,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,100,100,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
0,0,0,0,0,1959
0,0,0,0,0,1960
0,0,0,0,0,1961
0,0,0,0,0,1962
0,0,0,0,0,1963
0,0,0,0,0,1964
0,0,0,0,0,1965
0,0,0,0,0,1966
0,0,0,0,0,1967
0,0,0,0,0,1968
0,0,0,0,0,1969
0,0,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,96.7741935483871,100,100,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
96.6666666666667,100,100,100,100,1980
100,93.5483870967742,32.258064516129,28.5714285714286,58.0645161290323,1981
90,100,96.7741935483871,100,96.7741935483871,1982
93.3333333333333,93.5483870967742,96.7741935483871,100,100,1983
100,93.5483870967742,96.7741935483871,96.551724137931,100,1984
93.3333333333333,83.8709677419355,100,96.4285714285714,93.5483870967742,1985
80,93.5483870967742,96.7741935483871,85.7142857142857,96.7741935483871,1986
100,93.5483870967742,100,100,93.5483870967742,1987
96.6666666666667,96.7741935483871,100,96.551724137931,96.7741935483871,1988
96.6666666666667,100,100,100,100,1989
100,90.3225806451613,9.67741935483871,0,0,1990
0,0,70.9677419354839,100,100,1991
100,100,100,100,100,1992
100,100,100,100,100,1993
100,100,100,100,100,1994
100,100,96.7741935483871,100,100,1995
100,100,100,100,100,1996
100,100,100,100,100,1997
100,100,100,100,100,1998
100,100,100,100,100,1999
100,100,100,100,96.7741935483871,2000
100,100,100,100,100,2001
100,96.7741935483871,100,100,100,2002
100,96.7741935483871,80.6451612903226,96.4285714285714,100,2003
100,100,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
100,100,100,100,96.7741935483871,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,96.7741935483871,2009
100,100,100,100,96.7741935483871,2010
100,100,100,100,96.7741935483871,2011
100,100,100,100,96.7741935483871,2012
100,100,100,100,96.7741935483871,2013
100,100,100,100,90.3225806451613,2014
100,100,100,100,96.7741935483871,2015
