November,December,January,February,March,year
0,0,0,0,0,1940
0,0,41.9354838709677,96.4285714285714,100,1941
100,100,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,92.8571428571429,100,1945
50,0,0,0,0,1946
0,100,100,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,96.7741935483871,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,96.7741935483871,100,100,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,100,1984
100,100,100,100,100,1985
100,100,100,100,100,1986
100,100,100,100,100,1987
100,100,100,100,100,1988
100,100,100,100,100,1989
0,0,100,100,100,1990
100,100,100,100,100,1991
100,100,100,100,96.7741935483871,1992
60,54.8387096774194,64.5161290322581,67.8571428571429,70.9677419354839,1993
60,48.3870967741936,58.0645161290323,21.4285714285714,0,1994
0,0,0,0,0,1995
0,0,0,0,0,1996
0,0,0,0,0,1997
0,0,0,0,0,1998
0,0,0,0,0,1999
0,0,0,0,0,2000
0,0,0,0,0,2001
0,0,0,0,0,2002
0,0,0,0,0,2003
0,0,0,0,0,2004
0,0,0,0,0,2005
0,0,0,0,0,2006
0,0,0,0,0,2007
90,77.4193548387097,90.3225806451613,89.6551724137931,80.6451612903226,2008
100,100,90.3225806451613,78.5714285714286,87.0967741935484,2009
86.6666666666667,77.4193548387097,80.6451612903226,71.4285714285714,83.8709677419355,2010
96.6666666666667,83.8709677419355,87.0967741935484,89.2857142857143,80.6451612903226,2011
96.6666666666667,96.7741935483871,100,96.551724137931,90.3225806451613,2012
96.6666666666667,93.5483870967742,22.5806451612903,78.5714285714286,96.7741935483871,2013
90,93.5483870967742,100,96.4285714285714,90.3225806451613,2014
90,80.6451612903226,87.0967741935484,100,90.3225806451613,2015
