November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
100,100,100,100,100,1943
100,100,100,96.551724137931,6.45161290322581,1944
100,100,100,100,100,1945
100,100,100,100,100,1946
100,100,100,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,96.7741935483871,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,96.7741935483871,100,100,1973
100,83.8709677419355,93.5483870967742,82.1428571428571,87.0967741935484,1974
96.6666666666667,96.7741935483871,96.7741935483871,96.4285714285714,100,1975
100,100,96.7741935483871,93.1034482758621,87.0967741935484,1976
100,100,100,100,96.7741935483871,1977
100,100,93.5483870967742,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,96.7741935483871,92.8571428571429,90.3225806451613,1983
100,100,96.7741935483871,96.551724137931,93.5483870967742,1984
100,96.7741935483871,96.7741935483871,89.2857142857143,100,1985
100,100,100,96.4285714285714,96.7741935483871,1986
96.6666666666667,87.0967741935484,96.7741935483871,96.4285714285714,96.7741935483871,1987
100,100,96.7741935483871,100,90.3225806451613,1988
100,100,100,96.4285714285714,100,1989
100,100,100,100,100,1990
100,100,100,96.4285714285714,100,1991
93.3333333333333,100,90.3225806451613,89.6551724137931,100,1992
100,100,100,100,96.7741935483871,1993
100,100,100,100,96.7741935483871,1994
100,100,100,100,100,1995
93.3333333333333,96.7741935483871,100,89.6551724137931,100,1996
100,83.8709677419355,77.4193548387097,100,87.0967741935484,1997
93.3333333333333,96.7741935483871,93.5483870967742,96.4285714285714,96.7741935483871,1998
100,90.3225806451613,0,0,0,1999
0,0,0,0,0,2000
0,0,0,0,0,2001
0,0,0,0,0,2002
0,0,0,0,0,2003
0,0,100,100,100,2004
100,100,100,100,100,2005
100,100,100,100,96.7741935483871,2006
96.6666666666667,96.7741935483871,100,92.8571428571429,80.6451612903226,2007
96.6666666666667,100,100,96.551724137931,93.5483870967742,2008
100,100,100,100,96.7741935483871,2009
100,96.7741935483871,100,100,96.7741935483871,2010
100,100,100,100,90.3225806451613,2011
100,93.5483870967742,93.5483870967742,96.551724137931,90.3225806451613,2012
96.6666666666667,100,100,96.4285714285714,96.7741935483871,2013
100,100,93.5483870967742,100,96.7741935483871,2014
100,100,100,100,93.5483870967742,2015
