November,December,January,February,March,year
0,0,0,0,0,1940
0,0,41.9354838709677,96.4285714285714,100,1941
0,6.45161290322581,100,100,100,1942
100,100,100,100,100,1943
100,100,100,100,100,1944
100,100,100,92.8571428571429,100,1945
50,0,0,0,0,1946
0,100,100,100,96.7741935483871,1947
100,100,100,100,100,1948
100,100,100,100,100,1949
100,100,100,100,100,1950
100,100,100,100,100,1951
100,100,100,100,100,1952
100,100,100,100,100,1953
100,100,100,100,100,1954
100,100,100,100,100,1955
100,100,100,100,100,1956
100,100,100,100,100,1957
100,100,100,100,100,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,96.7741935483871,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,16.1290322580645,0,0,1973
100,100,100,78.5714285714286,0,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,100,1984
100,100,100,100,100,1985
100,100,100,100,100,1986
100,100,100,100,100,1987
100,100,100,100,100,1988
100,100,100,100,100,1989
0,0,100,100,100,1990
100,100,100,100,100,1991
100,100,100,100,96.7741935483871,1992
60,54.8387096774194,64.5161290322581,67.8571428571429,70.9677419354839,1993
60,48.3870967741936,58.0645161290323,21.4285714285714,0,1994
0,0,0,0,0,1995
0,0,0,0,0,1996
0,0,0,0,0,1997
0,0,0,0,0,1998
0,0,0,0,0,1999
0,0,0,0,0,2000
0,0,0,0,0,2001
0,0,0,0,0,2002
0,0,0,0,0,2003
0,0,0,0,0,2004
0,0,0,0,0,2005
0,0,0,0,0,2006
0,0,0,0,0,2007
0,0,0,0,0,2008
0,0,0,0,0,2009
0,0,0,0,0,2010
0,0,0,0,0,2011
0,0,0,0,0,2012
0,0,0,0,0,2013
0,0,0,0,0,2014
0,0,0,0,0,2015
