November,December,January,February,March,year
0,0,0,0,0,1940
0,0,0,0,0,1941
0,0,0,0,0,1942
0,0,0,0,0,1943
0,0,0,0,0,1944
0,0,0,0,0,1945
0,0,0,0,0,1946
0,0,0,0,0,1947
0,0,0,0,0,1948
0,0,0,0,0,1949
0,0,0,0,0,1950
0,0,0,0,0,1951
0,0,0,0,0,1952
0,0,0,0,0,1953
0,0,0,0,0,1954
0,0,0,0,0,1955
0,0,0,0,0,1956
0,0,0,0,0,1957
0,0,0,0,0,1958
100,100,100,100,100,1959
100,100,100,100,100,1960
100,100,100,100,100,1961
100,100,100,100,100,1962
100,100,100,100,100,1963
100,100,100,100,100,1964
100,100,100,100,100,1965
100,100,100,100,100,1966
100,100,100,100,100,1967
100,100,100,100,100,1968
100,100,100,100,100,1969
100,96.7741935483871,0,0,0,1970
0,0,0,0,0,1971
0,0,100,100,100,1972
100,100,96.7741935483871,100,87.0967741935484,1973
100,100,100,96.4285714285714,100,1974
100,100,100,100,100,1975
100,100,100,100,100,1976
100,100,100,100,100,1977
100,100,100,100,100,1978
100,100,100,100,100,1979
100,100,100,100,100,1980
100,100,100,100,100,1981
100,100,100,100,100,1982
100,100,100,100,100,1983
100,100,100,100,100,1984
100,100,100,100,100,1985
100,100,100,100,100,1986
100,100,100,100,100,1987
100,100,100,100,100,1988
100,100,100,100,100,1989
0,0,100,100,100,1990
100,87.0967741935484,93.5483870967742,100,100,1991
90,87.0967741935484,93.5483870967742,100,93.5483870967742,1992
93.3333333333333,87.0967741935484,93.5483870967742,100,100,1993
93.3333333333333,83.8709677419355,90.3225806451613,100,100,1994
93.3333333333333,70.9677419354839,93.5483870967742,100,100,1995
100,87.0967741935484,96.7741935483871,100,100,1996
90,83.8709677419355,90.3225806451613,96.4285714285714,93.5483870967742,1997
80,77.4193548387097,80.6451612903226,100,100,1998
70,64.5161290322581,77.4193548387097,100,100,1999
80,54.8387096774194,64.5161290322581,3.44827586206897,3.2258064516129,2000
80,90.3225806451613,100,96.4285714285714,87.0967741935484,2001
0,0,0,3.57142857142857,0,2002
0,0,0,0,3.2258064516129,2003
0,0,0,0,0,2004
3.33333333333333,0,3.2258064516129,0,0,2005
0,0,0,0,0,2006
100,96.7741935483871,100,89.2857142857143,93.5483870967742,2007
100,100,100,100,96.7741935483871,2008
100,100,100,100,87.0967741935484,2009
100,96.7741935483871,93.5483870967742,100,96.7741935483871,2010
96.6666666666667,96.7741935483871,100,100,96.7741935483871,2011
93.3333333333333,100,96.7741935483871,100,93.5483870967742,2012
100,100,96.7741935483871,100,93.5483870967742,2013
96.6666666666667,100,96.7741935483871,96.4285714285714,93.5483870967742,2014
100,100,100,100,83.8709677419355,2015
